45.148.31.227:443#DK [228.87ms 3.3Mbps]
95.81.112.66:8443#FI [231.27ms 0.18Mbps]
82.25.35.195:443#GB [232.24ms 0.45Mbps]
77.221.142.3:443#GB [232.24ms 0.4Mbps]
5.34.211.94:443#LV [232.38ms 0.27Mbps]
89.28.236.192:443#DK [232.54ms 3.2Mbps]
62.182.198.187:443#SE [232.74ms 0.18Mbps]
45.132.185.212:443#RU [233.12ms 1.15Mbps]
65.109.186.249:2053#FI [233.39ms 0.32Mbps]
159.255.32.113:443#FI [233.47ms 0.32Mbps]
89.22.230.89:8443#SE [233.55ms 2.55Mbps]
92.246.136.237:8443#GB [233.9ms 3.36Mbps]
94.242.59.31:443#SE [234.03ms 0.15Mbps]
77.221.142.27:8443#GB [234.11ms 1.12Mbps]
5.188.26.9:443#RU [234.57ms 0.13Mbps]
185.209.85.248:443#RU [235.08ms 5.84Mbps]
62.60.159.146:8443#GB [235.3ms 2.64Mbps]
151.245.90.96:8443#HK [235.38ms 0.52Mbps]
151.245.90.60:8443#HK [236.13ms 0.22Mbps]
170.64.229.30:443#AU [236.62ms 0.38Mbps]
93.123.39.230:443#EE [236.99ms 2.84Mbps]
45.149.63.235:2053#PL [237.17ms 0.3Mbps]
91.197.3.157:443#LV [237.25ms 0.57Mbps]
81.176.229.57:443#EE [237.27ms 0.09Mbps]
95.141.241.216:443#SE [237.84ms 0.21Mbps]
91.197.3.69:443#LV [238.21ms 0.22Mbps]
89.22.231.93:443#SE [238.22ms 0.95Mbps]
45.130.215.253:8443#LV [238.98ms 3.42Mbps]
91.245.225.79:2053#CH [239.18ms 0.27Mbps]
77.83.246.50:443#PL [239.38ms 2.63Mbps]
46.36.221.147:8443#EE [239.75ms 0.13Mbps]
5.42.116.33:443#RU [240.25ms 0.57Mbps]
82.118.20.91:443#PL [240.55ms 0.3Mbps]
81.2.236.23:443#CZ [240.61ms 0.14Mbps]
5.175.178.254:443#EE [240.7ms 1.79Mbps]
45.12.28.108:443#EE [241.0ms 1.56Mbps]
51.68.130.118:443#PL [241.15ms 3.24Mbps]
46.29.235.56:443#DK [241.18ms 0.19Mbps]
5.34.208.208:443#LV [241.4ms 3.47Mbps]
94.242.59.190:443#SE [241.43ms 0.21Mbps]
46.8.228.165:443#LV [241.59ms 3.01Mbps]
5.34.212.114:443#LV [241.63ms 2.23Mbps]
89.125.93.209:443#PL [241.68ms 0.4Mbps]
82.47.22.19:443#EE [241.73ms 0.29Mbps]
170.64.175.13:443#AU [241.86ms 1.64Mbps]
89.110.89.229:8443#RU [241.87ms 0.56Mbps]
78.17.180.185:443#ES [242.97ms 0.15Mbps]
144.31.113.155:443#PL [243.06ms 3.43Mbps]
125.228.236.138:443#TW [243.07ms 0.51Mbps]
85.217.170.56:2053#BG [243.36ms 0.3Mbps]
45.38.143.62:2053#LV [243.42ms 1.25Mbps]
95.46.1.22:2053#RU [243.65ms 0.11Mbps]
89.22.234.167:2053#SE [243.92ms 2.95Mbps]
77.83.246.233:2053#PL [244.13ms 2.95Mbps]
83.228.217.38:8443#CH [244.14ms 0.16Mbps]
89.125.243.165:443#SE [244.72ms 1.87Mbps]
185.237.218.22:443#LV [245.59ms 1.16Mbps]
5.101.114.132:443#EE [245.7ms 2.72Mbps]
79.137.184.29:443#SE [245.76ms 3.35Mbps]
5.34.215.68:443#LV [246.07ms 0.24Mbps]
79.132.141.165:8443#CH [246.23ms 0.16Mbps]
85.137.167.159:443#CZ [246.44ms 0.27Mbps]
45.12.28.96:443#EE [247.12ms 0.15Mbps]
64.112.127.151:443#SE [247.27ms 0.16Mbps]
195.35.21.37:443#IN [248.09ms 0.14Mbps]
46.36.216.195:443#EE [248.46ms 0.08Mbps]
163.61.103.239:443#MY [248.51ms 3.24Mbps]
89.111.143.118:443#RU [249.06ms 0.18Mbps]
45.136.199.148:443#RO [249.41ms 4.78Mbps]
77.73.68.124:443#RU [249.72ms 0.08Mbps]
45.134.48.53:8443#RO [250.39ms 0.22Mbps]
72.56.1.180:2053#RU [253.34ms 0.1Mbps]
80.87.198.98:443#RU [253.75ms 0.12Mbps]
92.61.71.49:443#CZ [255.54ms 0.14Mbps]
92.118.127.120:443#ES [256.35ms 0.1Mbps]
91.199.160.188:2053#CZ [256.74ms 0.27Mbps]
69.28.83.244:443#CA [257.38ms 0.0Mbps]
38.180.18.43:8443#BE [257.9ms 3.36Mbps]
91.184.249.146:443#CZ [258.9ms 0.33Mbps]
52.19.138.237:2053#IE [259.36ms 0.08Mbps]
45.150.131.246:443#TH [260.02ms 0.13Mbps]
83.228.193.229:8443#CH [261.96ms 0.3Mbps]
91.149.242.134:443#ES [262.02ms 0.18Mbps]
